[2024-10-18 18:47:32,690][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:33,304][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:33,915][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:34,533][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:34,695][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:35,331][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:35,945][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:36,563][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:37,185][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:37,803][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:38,411][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:39,033][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:39,648][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:40,272][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:40,437][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:40,592][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:41,210][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:41,363][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:41,514][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:42,124][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:42,281][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:42,436][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:42,589][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:43,205][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:43,823][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:43,989][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:44,602][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:44,779][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:44,935][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2024-10-18 18:47:45,085][httpx][INFO] - HTTP Request: POST https://azure-openai-api.shenmishajing.workers.dev/v1/chat/completions "HTTP/1.1 400 Bad Request"
